,model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
60, CLA Class,2016,14480,Automatic,84000,Petrol,200,42.8,2.0
61, E Class,2010,6980,Manual,79000,Petrol,300,35.3,1.8
62, C Class,2014,11290,Automatic,48000,Diesel,145,56.5,2.1
63, E Class,2011,5740,Manual,115000,Diesel,160,52.3,2.1
64, V Class,2017,31980,Automatic,16000,Diesel,145,44.8,2.1
65, CLA Class,2014,15990,Automatic,45000,Diesel,30,62.8,2.1
66, B Class,2015,11240,Automatic,47000,Diesel,125,56.5,2.1
67, GLC Class,2019,37980,Automatic,6200,Petrol,145,34.0,3.0
68, C Class,2019,28980,Automatic,5500,Diesel,145,60.1,2.0
69, C Class,2019,23280,Automatic,3908,Petrol,145,44.1,1.5
70, C Class,2019,32980,Automatic,2000,Diesel,145,64.2,2.0
71, M Class,2008,5990,Automatic,110000,Diesel,555,28.8,3.0
72, A Class,2013,7300,Automatic,54000,Diesel,30,65.7,1.8
73, S Class,2014,41980,Automatic,26000,Petrol,555,28.0,5.5
74, GL Class,2007,7340,Automatic,104000,Diesel,570,28.8,3.0
75, GL Class,2007,8490,Automatic,74000,Diesel,570,28.8,3.0
76, C Class,2009,4480,Automatic,130000,Diesel,300,37.7,3.0
77, S Class,2016,24880,Automatic,75000,Hybrid,190,42.4,3.5
78, E Class,2015,17480,Automatic,22000,Diesel,140,53.3,3.0
79, E Class,2007,4880,Automatic,58000,Diesel,315,37.2,3.0
80, S Class,2015,38980,Automatic,11000,Petrol,270,33.2,4.7
81, SLK,2010,7495,Manual,59147,Petrol,300,36.2,1.8
82, C Class,2007,3790,Automatic,99000,Petrol,555,28.8,2.5
83, C Class,2007,3890,Automatic,87000,Petrol,325,32.5,1.8
84, CL Class,2015,17863,Semi-Auto,14360,Diesel,20,62.8,2.1
85, GLA Class,2015,17624,Automatic,29505,Diesel,125,55.4,2.1
86, A Class,2018,18220,Automatic,10361,Diesel,145,68.9,1.5
87, SL CLASS,2017,18775,Automatic,19522,Diesel,30,70.6,2.1
88, SL CLASS,2017,20745,Automatic,23103,Diesel,30,70.6,2.1
89, A Class,2019,18118,Automatic,15561,Diesel,145,68.9,1.5
90, A Class,2019,17990,Automatic,14783,Diesel,145,65.7,1.5
91, SL CLASS,2019,28491,Semi-Auto,9477,Petrol,145,47.1,2.0
92, A Class,2018,18888,Automatic,11565,Diesel,145,67.3,1.5
93, A Class,2019,19840,Automatic,6781,Petrol,145,28.5,1.3
94, A Class,2019,18241,Automatic,15722,Diesel,145,65.7,1.5
95, A Class,2019,18141,Automatic,15689,Diesel,145,65.7,1.5
96, GLS Class,2016,37385,Automatic,21169,Diesel,305,37.2,3.0
97, CLS Class,2017,26166,Automatic,9165,Diesel,150,51.4,3.0
98, B Class,2019,24616,Automatic,3710,Diesel,145,55.4,2.0
99, C Class,2019,30403,Automatic,3000,Petrol,145,46.3,1.5
100, SL CLASS,2019,30670,Automatic,3000,Petrol,145,47.1,2.0
101, C Class,2020,30960,Automatic,3000,Diesel,145,64.2,2.0
102, A Class,2020,24107,Automatic,3500,Diesel,145,62.8,1.5
103, C Class,2019,24510,Automatic,11368,Diesel,145,58.9,1.6
104, GL Class,2016,35371,Automatic,14253,Diesel,325,36.2,3.0
105, GLC Class,2019,33729,Automatic,11301,Diesel,145,56.5,2.1
106, C Class,2019,29623,Automatic,7500,Diesel,145,64.2,2.0
107, C Class,2019,27964,Automatic,5617,Diesel,145,57.7,2.0
108, B Class,2019,21394,Automatic,9573,Petrol,145,45.6,1.3
109, B Class,2019,20882,Automatic,14257,Petrol,145,45.6,1.3
110, CLS Class,2019,37352,Automatic,3000,Diesel,150,45.6,2.0
