,model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
2022, SL CLASS,2019,30182,Automatic,3988,Petrol,145,47.1,2.0
2023, CL Class,2019,26176,Semi-Auto,14204,Diesel,145,51.4,2.2
2024, C Class,2018,30022,Automatic,6061,Diesel,145,54.3,2.0
2025, E Class,2016,19502,Semi-Auto,21733,Diesel,20,72.4,2.0
2026, E Class,2017,22482,Automatic,18902,Diesel,145,65.7,2.0
2027, GLC Class,2018,27902,Semi-Auto,13512,Diesel,145,56.5,2.1
2028, C Class,2016,18495,Semi-Auto,30000,Hybrid,0,74.3,2.1
2029, C Class,2017,15495,Manual,31070,Petrol,125,51.4,2.0
2030, C Class,2017,30995,Automatic,22191,Petrol,145,34.0,3.0
2031, GLC Class,2016,24495,Semi-Auto,11400,Diesel,125,56.5,2.1
2032, A Class,2019,27495,Semi-Auto,3719,Petrol,145,47.1,1.3
2033, GLC Class,2020,45995,Semi-Auto,6000,Diesel,145,40.4,2.0
2034, A Class,2018,78995,Semi-Auto,8420,Petrol,145,30.1,4.0
2035, C Class,2017,25995,Automatic,20875,Diesel,145,54.3,2.1
2036, SL CLASS,2016,36995,Semi-Auto,11888,Petrol,235,36.7,3.0
2037, A Class,2016,17102,Semi-Auto,19843,Diesel,20,68.9,2.1
2038, E Class,2019,38995,Semi-Auto,8356,Diesel,150,45.6,3.0
2039, E Class,2018,30202,Semi-Auto,20001,Diesel,145,53.3,2.0
2040, E Class,2013,12622,Semi-Auto,62048,Diesel,125,57.7,2.1
2041, GLC Class,2016,24995,Semi-Auto,18160,Diesel,125,56.5,2.1
2042, GLC Class,2017,26498,Semi-Auto,33523,Diesel,145,56.5,2.1
2043, GLC Class,2017,26998,Semi-Auto,36239,Diesel,145,56.5,2.1
2044, C Class,2016,16998,Semi-Auto,13795,Diesel,30,65.7,1.6
2045, A Class,2017,17891,Semi-Auto,21844,Diesel,150,68.9,2.1
2046, GLC Class,2016,20871,Semi-Auto,44482,Diesel,125,56.5,2.1
2047, CL Class,2019,25691,Semi-Auto,8202,Diesel,150,51.4,2.2
2048, B Class,2015,10291,Semi-Auto,54719,Diesel,20,70.6,1.5
2049, GLA Class,2014,12981,Manual,55905,Diesel,30,62.8,2.1
2050, CL Class,2017,17892,Manual,10393,Petrol,150,51.4,1.6
2051, A Class,2017,16722,Manual,23644,Petrol,145,49.6,1.6
2052, C Class,2017,22792,Semi-Auto,11163,Petrol,145,48.7,2.0
2053, C Class,2019,41070,Automatic,7969,Petrol,145,29.4,3.0
2054, SL CLASS,2019,79480,Automatic,150,Petrol,145,28.0,5.5
2055, SL CLASS,2019,29730,Semi-Auto,150,Petrol,145,47.1,2.0
2056, C Class,2016,17822,Semi-Auto,19682,Diesel,20,64.2,2.1
2057, E Class,2015,19132,Semi-Auto,45669,Diesel,160,51.4,3.0
2058, GLA Class,2017,19602,Semi-Auto,11525,Diesel,30,64.2,2.1
2059, V Class,2018,42510,Automatic,10044,Diesel,145,44.8,2.2
2060, B Class,2019,21590,Semi-Auto,7364,Diesel,145,55.4,2.0
2061, E Class,2019,28995,Semi-Auto,12630,Diesel,145,61.4,2.0
2062, E Class,2019,39995,Semi-Auto,10374,Diesel,145,38.2,3.0
2063, SL CLASS,2017,22495,Semi-Auto,13873,Petrol,145,47.9,2.0
2064, A Class,2019,39995,Semi-Auto,3618,Petrol,145,36.7,2.0
2065, A Class,2018,24995,Semi-Auto,5250,Petrol,145,53.3,1.3
2066, GLE Class,2016,29995,Semi-Auto,2933,Diesel,200,47.9,2.1
2067, V Class,2019,38995,Semi-Auto,13347,Diesel,145,45.6,2.2
2068, GLA Class,2019,24995,Semi-Auto,16399,Petrol,145,42.8,2.0
2069, E Class,2016,23495,Semi-Auto,19433,Diesel,30,65.7,2.0
2070, GLE Class,2018,45071,Semi-Auto,12100,Diesel,145,36.7,3.0
2071, E Class,2015,15181,Semi-Auto,38059,Diesel,125,61.4,2.1
2072, GLC Class,2017,29151,Semi-Auto,30744,Diesel,145,56.5,2.1
2073, C Class,2017,20612,Semi-Auto,27526,Diesel,30,64.2,2.1
2074, C Class,2016,18211,Semi-Auto,16206,Diesel,30,64.2,2.1
2075, A Class,2016,13891,Semi-Auto,36046,Petrol,125,53.3,1.6
2076, E Class,2018,28372,Semi-Auto,7410,Diesel,145,70.6,2.0
2077, GLA Class,2017,21182,Automatic,10827,Diesel,125,56.5,2.1
2078, C Class,2019,49780,Automatic,5654,Petrol,145,28.5,4.0
2079, B Class,2019,23480,Automatic,150,Diesel,145,55.4,2.0
2080, A Class,2019,21400,Manual,5153,Petrol,145,28.5,1.3
2081, A Class,2019,28490,Automatic,3826,Petrol,145,53.3,1.3
2082, A Class,2019,36990,Automatic,4500,Petrol,145,36.7,2.0
2083, GLE Class,2019,55491,Automatic,1795,Diesel,145,36.7,2.0
2084, E Class,2019,39990,Automatic,5817,Diesel,145,45.6,2.0
2085, GLC Class,2019,41990,Automatic,4569,Diesel,145,40.9,2.0
2086, GLC Class,2019,34990,Automatic,6500,Petrol,145,34.0,2.0
2087, E Class,2020,42490,Semi-Auto,3900,Diesel,145,70.6,2.0
2088, CL Class,2018,33450,Automatic,7823,Petrol,145,40.9,2.0
2089, C Class,2019,38610,Automatic,6249,Petrol,145,29.1,3.0
2090, C Class,2019,34990,Automatic,3196,Diesel,145,54.3,1.6
2091, GLA Class,2016,21481,Semi-Auto,6662,Petrol,145,48.7,1.6
2092, S Class,2019,56499,Automatic,582,Hybrid,135,122.9,3.0
2093, C Class,2019,28290,Automatic,8421,Diesel,145,64.2,2.0
2094, A Class,2017,16770,Semi-Auto,9321,Petrol,145,53.3,1.6
2095, A Class,2013,12490,Semi-Auto,43507,Diesel,30,64.2,2.1
2096, E Class,2017,21734,Automatic,17327,Diesel,145,65.7,2.0
2097, A Class,2015,11623,Automatic,61884,Diesel,20,68.9,2.1
2098, A Class,2016,18391,Semi-Auto,16000,Diesel,20,68.9,2.1
2099, A Class,2016,14555,Manual,31865,Diesel,20,68.9,1.5
2100, A Class,2016,16585,Semi-Auto,23216,Diesel,20,74.3,1.5
2101, CL Class,2014,14941,Semi-Auto,66694,Diesel,30,62.8,1.8
2102, A Class,2017,17712,Semi-Auto,28663,Petrol,125,52.3,1.6
2103, A Class,2019,21480,Automatic,150,Diesel,145,56.5,2.0
2104, C Class,2017,20022,Semi-Auto,35214,Diesel,30,64.2,2.1
2105, C Class,2017,17313,Automatic,14364,Petrol,125,53.3,2.0
2106, C Class,2017,24352,Automatic,8884,Diesel,20,67.3,2.1
2107, CL Class,2017,20961,Manual,16536,Petrol,200,42.2,2.0
2108, A Class,2015,13022,Semi-Auto,32230,Diesel,20,68.9,1.5
2109, C Class,2017,25498,Automatic,6067,Diesel,145,67.3,2.1
2110, C Class,2016,21698,Semi-Auto,15804,Hybrid,0,134.5,2.0
2111, E Class,2016,19998,Semi-Auto,20215,Diesel,20,72.4,2.0
2112, B Class,2019,20498,Semi-Auto,15545,Petrol,145,45.6,1.3
2113, E Class,2015,15998,Automatic,50087,Diesel,145,53.3,3.0
2114, GLC Class,2016,25998,Semi-Auto,21677,Diesel,125,56.5,2.1
2115, A Class,2015,12498,Manual,27680,Diesel,30,64.2,2.1
2116, V Class,2018,24998,Manual,23275,Diesel,145,46.3,2.1
2117, A Class,2014,12468,Semi-Auto,33211,Diesel,30,65.7,1.8
2118, A Class,2014,10991,Manual,53828,Diesel,20,70.6,1.5
2119, GLA Class,2016,17221,Semi-Auto,40308,Diesel,125,56.5,2.1
2120, C Class,2017,20091,Semi-Auto,24991,Diesel,150,61.4,2.1
2121, B Class,2013,8450,Manual,46831,Diesel,125,61.4,1.8
2122, A Class,2017,16490,Semi-Auto,41445,Diesel,20,74.3,1.5
2123, A Class,2018,18750,Semi-Auto,8759,Petrol,145,52.3,1.6
2124, GLA Class,2018,20911,Semi-Auto,19004,Diesel,150,56.5,2.1
2125, GLA Class,2017,21291,Semi-Auto,15830,Diesel,150,56.5,2.1
2126, B Class,2017,12730,Manual,14882,Diesel,150,68.9,1.5
2127, E Class,2018,21331,Semi-Auto,41530,Diesel,145,65.7,2.0
2128, E Class,2018,28990,Semi-Auto,13590,Diesel,145,51.4,3.0
2129, A Class,2018,30881,Semi-Auto,9840,Petrol,145,40.9,2.0
2130, GLS Class,2019,46931,Semi-Auto,7650,Diesel,150,37.2,3.0
2131, CL Class,2017,17565,Semi-Auto,43658,Diesel,20,70.6,2.1
2132, C Class,2015,15790,Semi-Auto,19830,Petrol,125,50.4,2.0
2133, C Class,2020,36990,Semi-Auto,3953,Petrol,145,42.2,2.0
2134, A Class,2017,15943,Semi-Auto,19130,Diesel,145,70.6,2.1
2135, GLE Class,2016,25491,Semi-Auto,35138,Diesel,200,47.9,2.1
2136, C Class,2015,14984,Semi-Auto,68647,Diesel,30,64.2,2.1
2137, B Class,2020,20850,Manual,3955,Petrol,145,45.6,1.3
2138, GLA Class,2017,17016,Manual,24464,Diesel,145,67.3,2.1
2139, A Class,2017,16015,Manual,25428,Petrol,145,51.4,1.6
2140, SL CLASS,2017,22495,Semi-Auto,15092,Petrol,150,47.9,2.0
2141, CLS Class,2019,69995,Semi-Auto,992,Petrol,150,31.7,3.0
2142, S Class,2018,72995,Semi-Auto,9740,Petrol,145,34.0,4.0
2143, A Class,2018,19491,Semi-Auto,4265,Diesel,145,65.7,1.5
2144, GLC Class,2016,27050,Semi-Auto,38438,Diesel,145,56.5,2.1
2145, E Class,2017,19450,Semi-Auto,15834,Diesel,20,72.4,2.0
2146, A Class,2020,23970,Semi-Auto,1500,Diesel,145,65.7,1.5
2147, A Class,2018,18691,Semi-Auto,12043,Diesel,145,65.7,1.5
2148, GLC Class,2016,22650,Automatic,52567,Diesel,125,56.5,2.1
2149, GLA Class,2016,19297,Automatic,21761,Petrol,200,43.5,2.0
2150, B Class,2018,17991,Semi-Auto,6132,Petrol,150,50.4,1.6
2151, A Class,2017,15695,Manual,24866,Petrol,150,49.6,1.6
2152, GLA Class,2018,20991,Semi-Auto,18777,Diesel,150,56.5,2.1
2153, A Class,2019,20080,Semi-Auto,12291,Petrol,145,53.3,1.3
2154, A Class,2019,19592,Manual,11245,Petrol,145,28.5,1.3
2155, C Class,2019,27810,Automatic,6621,Diesel,145,61.4,2.0
2156, E Class,2019,36247,Automatic,2459,Diesel,145,48.7,3.0
2157, E Class,2016,19700,Semi-Auto,24874,Diesel,30,65.7,2.0
2158, C Class,2018,28750,Automatic,7140,Diesel,145,54.3,2.0
2159, A Class,2018,19470,Semi-Auto,8970,Petrol,145,53.3,1.3
2160, E Class,2017,20997,Automatic,20730,Diesel,145,65.7,2.0
2161, E Class,2016,19370,Semi-Auto,12824,Diesel,20,72.4,2.0
2162, C Class,2017,26790,Automatic,4910,Petrol,145,40.9,2.0
2163, E Class,2017,19751,Semi-Auto,36056,Diesel,30,65.7,2.0
2164, E Class,2017,20795,Semi-Auto,28348,Diesel,145,65.7,2.0
2165, SL CLASS,2016,18991,Semi-Auto,11813,Diesel,30,70.6,2.1
2166, GLA Class,2017,30500,Semi-Auto,18791,Petrol,145,38.2,2.0
2167, GLE Class,2017,28795,Semi-Auto,17713,Diesel,145,47.9,2.1
2168, E Class,2017,22740,Automatic,25567,Diesel,145,51.4,3.0
2169, CL Class,2018,31850,Semi-Auto,10500,Petrol,145,40.9,2.0
2170, GLE Class,2019,44500,Automatic,8489,Diesel,145,36.7,3.0
2171, V Class,2018,21996,Manual,34483,Diesel,145,46.3,2.1
2172, X-CLASS,2018,18991,Manual,14243,Diesel,260,37.2,2.3
2173, C Class,2017,15280,Manual,27832,Diesel,145,72.4,1.6
2174, E Class,2017,19150,Semi-Auto,32844,Diesel,150,56.5,2.1
2175, E Class,2017,19070,Semi-Auto,39224,Diesel,150,65.7,2.0
2176, A Class,2017,15490,Manual,40014,Diesel,30,62.8,2.1
2177, C Class,2017,35420,Semi-Auto,24057,Petrol,150,34.5,4.0
2178, E Class,2014,13000,Semi-Auto,60500,Diesel,125,57.7,2.1
2179, GLC Class,2017,29500,Semi-Auto,25782,Diesel,150,56.5,2.1
2180, C Class,2017,33000,Semi-Auto,10439,Petrol,145,35.3,3.0
2181, A Class,2018,28350,Semi-Auto,29724,Petrol,145,40.9,2.0
2182, M Class,2015,32250,Semi-Auto,43910,Petrol,570,23.9,5.5
2183, GLC Class,2018,53750,Automatic,5444,Petrol,145,27.4,4.0
2184, CLS Class,2014,16500,Semi-Auto,53931,Diesel,200,46.3,3.0
2185, A Class,2016,13995,Semi-Auto,64168,Diesel,20,67.3,2.1
2186, GLC Class,2017,26998,Semi-Auto,21554,Diesel,145,56.5,2.1
2187, GLC Class,2017,28998,Semi-Auto,21263,Diesel,145,56.5,2.1
2188, S Class,2017,31055,Semi-Auto,13763,Diesel,160,50.4,3.0
2189, C Class,2017,18115,Semi-Auto,20846,Petrol,145,50.4,2.0
2190, A Class,2016,14541,Manual,17474,Diesel,20,72.4,1.5
2191, E Class,2017,20000,Semi-Auto,28552,Diesel,145,67.3,2.0
2192, C Class,2016,14750,Automatic,28612,Diesel,20,65.7,2.1
2193, A Class,2018,18551,Semi-Auto,14444,Diesel,145,65.7,1.5
2194, E Class,2017,20150,Semi-Auto,25899,Diesel,30,65.7,2.0
2195, A Class,2018,17689,Automatic,11791,Diesel,145,68.9,2.1
2196, CL Class,2018,19005,Manual,13515,Diesel,145,65.7,2.1
2197, GLA Class,2015,14241,Manual,40402,Diesel,20,64.2,2.1
2198, CL Class,2015,14340,Automatic,51168,Diesel,20,68.9,2.1
2199, E Class,2013,12013,Semi-Auto,59338,Diesel,125,57.7,2.1
2200, GLE Class,2017,27645,Automatic,17022,Diesel,200,47.9,2.1
2201, C Class,2019,28887,Automatic,9985,Diesel,145,57.7,2.0
2202, C Class,2018,23247,Automatic,10137,Diesel,145,61.4,2.1
2203, E Class,2017,20737,Automatic,22122,Diesel,145,65.7,2.0
2204, C Class,2017,22720,Automatic,14161,Diesel,145,67.3,2.1
2205, GLC Class,2017,23615,Semi-Auto,41243,Diesel,145,56.5,2.1
2206, E Class,2018,25498,Semi-Auto,10267,Diesel,150,58.9,2.0
2207, V Class,2018,20998,Manual,14453,Diesel,145,46.3,2.1
2208, C Class,2016,17498,Semi-Auto,63507,Hybrid,0,76.4,2.1
2209, C Class,2015,10998,Manual,92589,Diesel,20,68.9,2.1
2210, C Class,2016,15798,Semi-Auto,41279,Diesel,20,64.2,2.1
2211, C Class,2017,16495,Semi-Auto,25656,Diesel,30,65.7,1.6
2212, GLA Class,2014,16650,Semi-Auto,34200,Diesel,145,55.4,2.1
2213, GLC Class,2017,27498,Automatic,29933,Diesel,145,56.5,2.1
2214, C Class,2018,25298,Semi-Auto,8702,Petrol,145,47.1,2.0
2215, GLC Class,2016,28798,Semi-Auto,18773,Diesel,145,56.5,2.1
2216, CL Class,2020,26850,Automatic,3956,Petrol,145,44.8,1.3
2217, GLS Class,2019,44890,Automatic,18082,Diesel,145,37.2,3.0
2218, X-CLASS,2019,23996,Automatic,9160,Diesel,260,35.8,2.3
2219, V Class,2018,18691,Automatic,20074,Diesel,150,48.7,2.1
2220, V Class,2019,25991,Automatic,3442,Diesel,150,39.8,2.1
2221, X-CLASS,2019,25491,Automatic,10485,Diesel,265,35.8,2.3
2222, C Class,2019,27998,Semi-Auto,10134,Diesel,145,61.4,2.0
2223, GLE Class,2017,34998,Semi-Auto,33127,Diesel,145,39.2,3.0
2224, A Class,2013,12362,Automatic,45166,Diesel,30,64.2,2.1
2225, C Class,2017,18240,Semi-Auto,44118,Hybrid,0,134.5,2.0
2226, C Class,2017,18231,Semi-Auto,20185,Petrol,145,50.4,2.0
2227, C Class,2014,14601,Semi-Auto,60000,Diesel,125,60.1,2.1
2228, C Class,2016,20365,Semi-Auto,21430,Petrol,145,49.6,2.0
2229, M Class,2014,19194,Semi-Auto,57573,Diesel,200,46.3,2.1
2230, E Class,2019,30350,Semi-Auto,3607,Diesel,145,57.7,2.0
2231, A Class,2016,13480,Manual,58150,Diesel,30,62.8,2.1
2232, C Class,2016,21505,Automatic,16703,Diesel,125,61.4,2.1
2233, GLS Class,2016,41750,Automatic,30448,Diesel,300,37.2,3.0
2234, SL CLASS,2017,19621,Semi-Auto,13764,Diesel,145,70.6,2.1
2235, GLE Class,2016,27880,Automatic,11513,Diesel,200,47.9,2.1
2236, A Class,2020,25980,Manual,385,Petrol,145,44.1,1.3
2237, A Class,2020,25980,Manual,347,Petrol,145,47.1,1.3
2238, E Class,2017,22780,Semi-Auto,20774,Diesel,145,65.7,2.0
2239, A Class,2020,22480,Manual,526,Petrol,145,45.6,1.3
2240, E Class,2020,56980,Semi-Auto,3999,Petrol,145,32.1,3.0
2241, GLC Class,2020,49980,Semi-Auto,3999,Petrol,145,26.4,3.0
2242, CL Class,2019,28980,Semi-Auto,1434,Petrol,145,44.1,1.3
2243, SL CLASS,2016,17391,Semi-Auto,14224,Diesel,30,70.6,2.1
2244, A Class,2018,18590,Automatic,8297,Diesel,145,68.9,1.5
2245, GLE Class,2017,27357,Automatic,39110,Diesel,145,42.8,3.0
2246, A Class,2018,19403,Automatic,8657,Diesel,145,67.3,1.5
2247, C Class,2018,24791,Semi-Auto,16052,Petrol,145,44.1,2.0
2248, GLC Class,2019,27100,Automatic,9196,Diesel,145,41.5,2.1
2249, GLA Class,2018,23635,Automatic,10466,Diesel,145,56.5,2.1
2250, C Class,2015,16581,Semi-Auto,23985,Diesel,20,64.2,2.1
2251, GLE Class,2016,27685,Automatic,13656,Diesel,200,47.9,2.1
2252, GLA Class,2017,20150,Semi-Auto,16639,Diesel,145,56.5,2.1
2253, E Class,2016,19431,Semi-Auto,36790,Diesel,145,54.3,3.0
2254, GLA Class,2017,19891,Semi-Auto,30063,Diesel,125,56.5,2.1
2255, C Class,2019,41500,Semi-Auto,3805,Petrol,145,30.4,3.0
2256, GLC Class,2019,35980,Semi-Auto,4115,Diesel,145,43.5,2.0
2257, CLS Class,2018,33000,Semi-Auto,5673,Diesel,145,48.7,2.9
2258, GLC Class,2016,24480,Semi-Auto,31730,Diesel,125,56.5,2.1
2259, C Class,2016,20480,Semi-Auto,20169,Diesel,30,64.2,2.1
2260, GLE Class,2017,27000,Semi-Auto,29054,Diesel,200,47.9,2.1
2261, C Class,2016,21000,Semi-Auto,22156,Diesel,30,64.2,2.1
2262, GLA Class,2018,21980,Semi-Auto,15728,Diesel,145,56.5,2.1
2263, GLE Class,2019,50480,Semi-Auto,3999,Diesel,145,36.7,2.0
2264, A Class,2019,26999,Automatic,4105,Diesel,145,56.5,2.0
2265, E Class,2017,20555,Semi-Auto,23656,Diesel,30,65.7,2.0
2266, C Class,2016,20995,Automatic,19805,Diesel,20,67.3,2.1
2267, C Class,2015,17790,Automatic,8726,Diesel,20,64.2,2.1
2268, CL Class,2016,22661,Semi-Auto,14776,Petrol,200,42.8,2.0
2269, A Class,2013,10664,Semi-Auto,43292,Diesel,30,65.7,1.8
2270, E Class,2014,13890,Semi-Auto,43067,Diesel,145,54.3,2.1
2271, GLC Class,2016,22510,Semi-Auto,36672,Diesel,125,56.5,2.1
2272, C Class,2018,22991,Semi-Auto,7615,Diesel,145,67.3,2.1
2273, GLA Class,2016,17995,Semi-Auto,16919,Diesel,125,56.5,2.1
2274, S Class,2020,64980,Semi-Auto,3999,Diesel,145,40.4,3.0
2275, C Class,2019,20980,Semi-Auto,4908,Petrol,145,44.1,1.5
2276, C Class,2019,28429,Semi-Auto,5866,Diesel,145,54.3,1.6
2277, B Class,2019,23980,Semi-Auto,4012,Diesel,145,55.4,2.0
2278, GLE Class,2019,49980,Semi-Auto,52,Diesel,145,36.7,2.0
2279, GLE Class,2019,49980,Semi-Auto,4089,Diesel,145,36.7,2.0
2280, GLC Class,2019,38000,Semi-Auto,3180,Diesel,145,40.9,2.0
2281, GLA Class,2020,25480,Semi-Auto,16,Petrol,145,37.2,1.6
2282, C Class,2020,32480,Semi-Auto,16,Diesel,145,64.2,2.0
2283, A Class,2020,24480,Manual,16,Petrol,145,28.5,1.3
2284, V Class,2019,39980,Semi-Auto,3257,Diesel,145,44.8,2.2
2285, V Class,2019,46980,Semi-Auto,2888,Diesel,145,36.7,2.0
2286, A Class,2017,19480,Semi-Auto,22000,Diesel,145,68.9,2.1
2287, GLC Class,2016,34980,Semi-Auto,31499,Petrol,300,34.0,3.0
2288, E Class,2016,17680,Semi-Auto,46512,Diesel,145,56.5,2.1
2289, E Class,2019,24780,Semi-Auto,6631,Diesel,145,72.4,2.0
2290, V Class,2017,34980,Semi-Auto,6316,Diesel,145,45.6,2.2
2291, C Class,2019,45980,Semi-Auto,3830,Petrol,145,29.7,3.0
2292, CL Class,2016,16480,Manual,46228,Petrol,125,51.4,1.6
2293, GLC Class,2020,41980,Semi-Auto,3774,Diesel,145,40.9,2.0
2294, GLC Class,2019,31980,Semi-Auto,3999,Petrol,145,34.0,2.0
2295, A Class,2020,25980,Manual,385,Petrol,145,47.1,1.3
2296, E Class,2019,52000,Semi-Auto,4130,Petrol,145,31.7,3.0
2297, C Class,2016,19750,Semi-Auto,25000,Diesel,30,64.2,2.1
2298, GLC Class,2017,28498,Semi-Auto,26299,Diesel,145,56.5,2.1
2299, E Class,2015,14998,Semi-Auto,27512,Diesel,125,57.7,2.1
2300, A Class,2016,21498,Semi-Auto,14913,Petrol,205,42.8,2.0
2301, B Class,2017,15298,Semi-Auto,18656,Diesel,20,68.9,1.5
2302, B Class,2017,15490,Semi-Auto,28000,Petrol,145,51.4,1.6
2303, A Class,2017,18000,Semi-Auto,10227,Diesel,20,67.3,2.1
2304, A Class,2017,15000,Manual,27842,Diesel,150,68.9,1.5
2305, B Class,2017,13500,Manual,34396,Diesel,20,68.9,1.5
2306, V Class,2018,18450,Manual,23075,Diesel,145,46.3,2.1
2307, V Class,2019,17950,Manual,22538,Diesel,145,46.3,2.1
2308, V Class,2019,20750,Automatic,18603,Diesel,145,48.7,2.1
2309, V Class,2019,20950,Automatic,20500,Diesel,145,48.7,2.1
2310, C Class,2017,16299,Automatic,30612,Diesel,145,64.2,2.1
2311, X-CLASS,2017,31994,Automatic,24800,Diesel,260,35.8,2.3
2312, X-CLASS,2020,31991,Automatic,303,Diesel,260,35.8,2.3
2313, X-CLASS,2019,34491,Automatic,8798,Diesel,260,31.4,3.0
2314, X-CLASS,2019,24991,Automatic,8974,Diesel,260,35.8,2.3
2315, X-CLASS,2019,25926,Automatic,9772,Diesel,260,35.8,2.3
2316, X-CLASS,2019,22995,Automatic,11479,Diesel,260,35.8,2.3
2317, GLE Class,2017,27380,Semi-Auto,37060,Diesel,200,47.9,2.1
2318, GLC Class,2016,24741,Semi-Auto,42300,Diesel,125,56.5,2.1
2319, C Class,2016,16657,Semi-Auto,24247,Diesel,20,65.7,2.1
2320, E Class,2016,18304,Semi-Auto,45905,Diesel,30,61.4,2.0
2321, GLC Class,2016,21980,Semi-Auto,23000,Diesel,125,56.5,2.1
2322, A Class,2016,14740,Manual,37600,Diesel,30,62.8,2.1
2323, A Class,2018,19385,Automatic,9122,Diesel,145,65.7,1.5
2324, C Class,2019,34980,Semi-Auto,16169,Petrol,150,30.4,3.0
2325, GLC Class,2016,24340,Semi-Auto,36320,Diesel,125,56.5,2.1
2326, E Class,2016,17940,Semi-Auto,35012,Diesel,30,65.7,2.0
2327, GLC Class,2019,32480,Semi-Auto,10217,Diesel,145,56.5,2.1
2328, GLE Class,2019,54500,Semi-Auto,2870,Diesel,145,32.8,3.0
2329, GLE Class,2017,40980,Semi-Auto,17763,Diesel,145,39.2,3.0
2330, GLE Class,2016,28980,Semi-Auto,22442,Diesel,260,42.8,3.0
2331, E Class,2019,28480,Semi-Auto,12667,Diesel,145,58.9,2.0
2332, E Class,2018,30000,Semi-Auto,8010,Diesel,145,51.4,3.0
2333, C Class,2019,25980,Semi-Auto,13624,Petrol,145,45.6,1.5
2334, GLC Class,2019,30480,Semi-Auto,15224,Diesel,145,56.5,2.1
2335, E Class,2019,28480,Semi-Auto,9876,Diesel,145,58.9,2.0
2336, C Class,2019,24980,Semi-Auto,2072,Petrol,145,47.9,2.0
2337, C Class,2017,19250,Semi-Auto,30796,Hybrid,0,134.5,2.0
2338, A Class,2014,9480,Manual,67569,Diesel,20,72.4,1.5
2339, E Class,2016,16480,Semi-Auto,21441,Diesel,125,61.4,2.1
2340, E Class,2015,15490,Semi-Auto,28002,Diesel,125,61.4,2.1
2341, CL Class,2014,19980,Semi-Auto,55206,Petrol,555,29.4,4.7
2342, GLA Class,2017,18990,Semi-Auto,46857,Diesel,145,56.5,2.1
2343, A Class,2019,20480,Semi-Auto,3551,Petrol,145,28.5,1.3
2344, CL Class,2017,17833,Semi-Auto,43837,Diesel,150,67.3,2.1
2345, A Class,2017,15178,Semi-Auto,21470,Diesel,20,74.3,1.5
2346, E Class,2018,21790,Semi-Auto,20837,Diesel,150,61.4,2.0
2347, E Class,2019,34640,Semi-Auto,2824,Diesel,150,42.8,3.0
2348, C Class,2017,13980,Manual,21300,Petrol,150,53.3,2.0
2349, A Class,2016,17624,Automatic,16479,Diesel,20,68.9,2.1
2350, CL Class,2016,16249,Manual,33976,Petrol,125,51.4,1.6
2351, A Class,2016,13290,Manual,36892,Diesel,20,72.4,1.5
2352, GLC Class,2018,27980,Semi-Auto,7830,Diesel,150,56.5,2.1
2353, GLC Class,2018,28480,Semi-Auto,6945,Diesel,150,56.5,2.1
2354, A Class,2016,15740,Manual,25036,Diesel,30,62.8,2.1
2355, GLE Class,2015,29955,Semi-Auto,54229,Diesel,305,39.2,3.0
2356, C Class,2017,14980,Manual,45034,Diesel,20,68.9,2.1
2357, C Class,2017,18830,Semi-Auto,42437,Hybrid,0,134.5,2.0
2358, CL Class,2014,14980,Semi-Auto,32675,Diesel,30,62.8,1.8
2359, A Class,2020,26480,Semi-Auto,3000,Petrol,145,47.9,1.3
2360, C Class,2020,29880,Semi-Auto,3000,Diesel,145,64.2,2.0
2361, GLC Class,2017,23990,Semi-Auto,34000,Diesel,125,56.5,2.1
2362, C Class,2016,22790,Semi-Auto,9600,Petrol,145,49.6,2.0
2363, C Class,2019,27480,Automatic,10100,Diesel,145,64.2,2.0
2364, GLA Class,2017,19480,Semi-Auto,26850,Diesel,150,58.9,2.1
2365, GLA Class,2017,13980,Semi-Auto,24309,Diesel,150,64.2,2.1
2366, C Class,2016,16329,Automatic,39924,Diesel,30,64.2,1.6
2367, C Class,2016,18341,Semi-Auto,10581,Diesel,30,64.2,1.6
2368, A Class,2017,14485,Manual,15993,Petrol,145,52.3,1.6
2369, A Class,2014,11915,Manual,12522,Diesel,0,78.5,1.5
2370, A Class,2017,12563,Manual,43043,Diesel,145,80.7,1.5
2371, A Class,2017,16065,Semi-Auto,12272,Diesel,145,74.3,1.5
2372, A Class,2017,15896,Automatic,11072,Diesel,145,74.3,1.5
2373, A Class,2017,15281,Manual,13943,Petrol,145,51.4,1.6
2374, A Class,2017,16633,Automatic,23979,Diesel,145,68.9,2.1
2375, M Class,2013,17481,Semi-Auto,58457,Diesel,200,44.8,2.1
2376, A Class,2018,17938,Semi-Auto,13994,Diesel,145,68.9,1.5
2377, C Class,2015,19990,Semi-Auto,12469,Diesel,30,64.2,2.1
2378, E Class,2017,19891,Semi-Auto,39851,Diesel,145,61.4,2.0
2379, C Class,2017,21630,Automatic,21994,Diesel,145,67.3,2.1
2380, GLA Class,2017,20560,Manual,11300,Petrol,145,47.1,1.6
2381, A Class,2018,16492,Manual,21232,Diesel,145,68.9,1.5
2382, A Class,2018,16780,Manual,14675,Diesel,145,68.9,1.5
2383, CL Class,2016,19024,Automatic,48387,Petrol,200,42.8,2.0
2384, CL Class,2017,18800,Semi-Auto,25581,Diesel,20,67.3,2.1
